review_uid,destination,source,language_review,stars,date,text_clean,polaridad_sugerida,aspecto_sugerido,motivo_minado,score_minado,prioridad_anotacion
gm_1fc3c6ced521e710,Ciudadela de Kuélap,Google Maps,es,5,2023-01-07T13:16:41.097Z,"Es un hermoso lugar lleno de historia, pero es una lástima que ahora solo se pueda llegar hasta un muro caído y nada más, es lamentable que dentro de la zona arqueológica exista comercios informales, construcciones que no son acordes a la arquitectura del lugar, que ocasionan mucha contaminación visual y también acústica, por la música a volumen alto y por la emisión de humos y olores fuertes en zona frontal de los muros prehispánicos.",negativo,atractivos,"estrellas=5 | neg_sutil:lastima,una lastima,lamentable | conector:pero",0.833,alta
gm_1fc3c6ced521e710,Ciudadela de Kuélap,Google Maps,es,5,2023-01-07T13:16:41.097Z,"Es un hermoso lugar lleno de historia, pero es una lástima que ahora solo se pueda llegar hasta un muro caído y nada más, es lamentable que dentro de la zona arqueológica exista comercios informales, construcciones que no son acordes a la arquitectura del lugar, que ocasionan mucha contaminación visual y también acústica, por la música a volumen alto y por la emisión de humos y olores fuertes en zona frontal de los muros prehispánicos.",negativo,accesibilidad,"estrellas=5 | neg_sutil:lastima,una lastima,lamentable | conector:pero",0.833,alta
gm_5b9dc734b57ea8a1,Santuario Histórico de Machu Picchu,Google Maps,en,3,2026-04-06T12:49:22.751Z,"Machu Picchu itself is certainly an impressive archeological site. The price (entry ticket per circuit 152S, resp. 50$) is very high in my regards, especially since there is zero information given on the site itself. Further all means of transport are overpriced compared to the rest of Peru and there is no alternative. Overall a nice experience, but felt overpriced, without any reasonable alternative for means of transport, too little/no information and thus a overrated.",negativo,costos,"estrellas=3 | neg_sutil:overrated,no information | conector:but",0.75,alta
gm_5b9dc734b57ea8a1,Santuario Histórico de Machu Picchu,Google Maps,en,3,2026-04-06T12:49:22.751Z,"Machu Picchu itself is certainly an impressive archeological site. The price (entry ticket per circuit 152S, resp. 50$) is very high in my regards, especially since there is zero information given on the site itself. Further all means of transport are overpriced compared to the rest of Peru and there is no alternative. Overall a nice experience, but felt overpriced, without any reasonable alternative for means of transport, too little/no information and thus a overrated.",negativo,accesibilidad,"estrellas=3 | neg_sutil:overrated,no information | conector:but",0.75,alta
gm_5b9dc734b57ea8a1,Santuario Histórico de Machu Picchu,Google Maps,en,3,2026-04-06T12:49:22.751Z,"Machu Picchu itself is certainly an impressive archeological site. The price (entry ticket per circuit 152S, resp. 50$) is very high in my regards, especially since there is zero information given on the site itself. Further all means of transport are overpriced compared to the rest of Peru and there is no alternative. Overall a nice experience, but felt overpriced, without any reasonable alternative for means of transport, too little/no information and thus a overrated.",negativo,atencion_servicio,"estrellas=3 | neg_sutil:overrated,no information | conector:but",0.75,alta
gm_6f306e508dc373a8,Santuario Histórico de Machu Picchu,Google Maps,en,1,2024-12-03T15:28:58.404Z,"It’s an overpopulated tourist trap. Out of the 2,5 hours I was waiting for 2 hours on instagram addicts taking the same selfie everyone else also has. The guide told very basic stories which is not worth your money. You might as well go to Disneyland and stand in line all day. Better take route 4 and hike up Huayna Picchu by yourself. Probably one of the worst ancient temples I’ve visited in Latin America.",negativo,atractivos,"estrellas=1 | neg_sutil:tourist trap,not worth",0.667,alta
gm_6f306e508dc373a8,Santuario Histórico de Machu Picchu,Google Maps,en,1,2024-12-03T15:28:58.404Z,"It’s an overpopulated tourist trap. Out of the 2,5 hours I was waiting for 2 hours on instagram addicts taking the same selfie everyone else also has. The guide told very basic stories which is not worth your money. You might as well go to Disneyland and stand in line all day. Better take route 4 and hike up Huayna Picchu by yourself. Probably one of the worst ancient temples I’ve visited in Latin America.",negativo,costos,"estrellas=1 | neg_sutil:tourist trap,not worth",0.667,alta
gm_6f306e508dc373a8,Santuario Histórico de Machu Picchu,Google Maps,en,1,2024-12-03T15:28:58.404Z,"It’s an overpopulated tourist trap. Out of the 2,5 hours I was waiting for 2 hours on instagram addicts taking the same selfie everyone else also has. The guide told very basic stories which is not worth your money. You might as well go to Disneyland and stand in line all day. Better take route 4 and hike up Huayna Picchu by yourself. Probably one of the worst ancient temples I’ve visited in Latin America.",negativo,accesibilidad,"estrellas=1 | neg_sutil:tourist trap,not worth",0.667,alta
gm_ce860b6b852f93c2,Santuario Histórico de Machu Picchu,Google Maps,en,1,2023-06-06T13:48:59.208Z,"Be aware that the price of the ticket and attitude of the object management is awful. Price is much more than for other wonderful sites like collosum, Piza tower, neushwenstein etc. You can pick only one of available circuits. In our (4th) circuit you additionally had to choose between seeing hall of mirrors and temple of kondor... The view of course is beautiful. But imo mountains are better. No information boards available. Toilets, bus service, luggage storage additionally paid",negativo,atractivos,estrellas=1 | neg_sutil:no information | conector:but,0.667,alta
gm_ce860b6b852f93c2,Santuario Histórico de Machu Picchu,Google Maps,en,1,2023-06-06T13:48:59.208Z,"Be aware that the price of the ticket and attitude of the object management is awful. Price is much more than for other wonderful sites like collosum, Piza tower, neushwenstein etc. You can pick only one of available circuits. In our (4th) circuit you additionally had to choose between seeing hall of mirrors and temple of kondor... The view of course is beautiful. But imo mountains are better. No information boards available. Toilets, bus service, luggage storage additionally paid",negativo,costos,estrellas=1 | neg_sutil:no information | conector:but,0.667,alta
