review_uid,destination,pool,stars,text_clean,aspecto,label
gm_84e28b0f36ed461d,Catarata de Ahuashiyacu,A_representativo,5,"Este lugar es tan lindo que nunca voy a olvidar esa linda experiencia de visitar ese lugar,,Hernosa catarata y lo recomiendo visitar",atractivos,positivo
gm_0dd20b70afeaafa1,Catarata de Ahuashiyacu,A_representativo,5,"Lugar muy bonito, algo pequeño, limitado en espacio, muy recomendado para ir con los amigos y la familia, se respira un ambiente natural.",atractivos,positivo
gm_0542c238d1cf39bc,Catarata de Ahuashiyacu,A_representativo,5,"Agradezco a Dios 🙏 por tanto 🤲💃🤲Una de las maravillas de la naturaleza cerca a la cuidad, quede feliz, y fascinada de tanta belleza 🤲💃🤲 cumplió mi expectativa al máximo ✨💃✨ gracias 🙏🙏🙏",atractivos,positivo
gm_d5b9afb60233fc3a,Catarata de Ahuashiyacu,A_representativo,1,No recomendado... Demasiado tiempo de espera... Por fin entramos pero fue una decepción el ambiente tenía olor a orina.... Crítica constructiva : utilizen el dinero de las entradas para una mejor atención e higiene... Mi familia y yo entramos y salimos no disfrutamos nada de nada,atractivos,negativo
gm_1cb59288bfae8891,Catarata de Ahuashiyacu,A_representativo,5,Vale mucho la pena la cascada La Golondrina (la entrada está dentro del camino a la catarata). La caminata es difícil por los resbalones pero el paisaje al llegar impresionante.,atractivos,positivo
gm_80445b0493b0eb21,Catarata de Ahuashiyacu,A_representativo,5,"Un estupendo lugar para relajarse y tomar un buen baño, sin contar la hermosa vista que ofrece",atractivos,positivo
gm_27152a1d7f1a69a5,Catarata de Ahuashiyacu,A_representativo,5,"Un lugar donde se puede realizar turismo , sobre todo ir a divertirte con la familia , Dada las circunstancias del covid hoy en día atiende con todas las medidas respectivas , pero sigue siendo un lugar lleno de muchas expectativas para el público en general",atractivos,ausente
gm_509589ff8d6c834a,Catarata de Ahuashiyacu,A_representativo,4,"Excelente Catarata, lleno de vegetación, con un tramo de caminata agradable, el agua bien helada, muy buena",atractivos,positivo
gm_6870739704c3b560,Catarata de Ahuashiyacu,A_representativo,5,Sus cascadas relajantes sus guías Muy amables está limpio ay todos los protocolos recomendable para visitar,atractivos,positivo
gm_5876211a3d6ff33a,Catarata de Ahuashiyacu,A_representativo,5,Me encantó este lugar maravilloso por la naturaleza.se respira aire puro sin nada de contaminación.y por que tambien es mi hogar Mi Selva lo Maximo.,atractivos,positivo
gm_e4c7ac7ef37bebd4,Catarata de Ahuashiyacu,A_representativo,5,"Agradable lugar para tener contacto con la Naturaleza,si usted quiere bañar hace un frío 😂😂🤣",atractivos,positivo
gm_12294e5f754b272f,Catarata de Ahuashiyacu,A_representativo,5,"Muy lindo todo, me toco dia de lluvia y lindo igual, cascada de 40m, esto lo hice a traves de una empresa de tour ""kuri tour""",atractivos,positivo
gm_dc158eadbafdcf36,Catarata de Ahuashiyacu,A_representativo,5,"Muy bonito, deben llevar cambio de ropa o ir con algo ligero porque te mojas y repelente para los zancudos",atractivos,positivo
gm_1a40f2a41a3b5335,Catarata de Ahuashiyacu,A_representativo,3,"Un lugar muy bonito, rodeado de mucha naturaleza, masajes naturales con las aguas de las cataratas muy terapéutico.",atractivos,positivo
gm_5f78e10481d71c03,Catarata de Ahuashiyacu,A_representativo,4,"El agua es muy fresca, es muy divertido y bonita . Tiene lugares indicados para cambiarse. En el camino hacia catarata , hay una bonita vista .🤗",atractivos,positivo
gm_cfbe9963c16d4634,Catarata de Ahuashiyacu,A_representativo,4,"Fuimos a mediados de enero y nos agarro una lluvia suave que hizo el camino diría yo más agradable, tomamos un tour en los alrededores de la plaza de armas de tarapoto, llegamos al parque y esperamos cerca de 30 minutos por nuestro turno para ingresar, solo podemos estar 1 hora, se hace una caminata de unos 10 minutos antes de llegar a la catarata, el camino está bien señalado y es de fácil acceso, nos tomamos fotos junto a la catarata e ingresamos rápidamente a pesar de la lluvia y lo helada del agua para la foto. Lugar recomendado.",atractivos,positivo
gm_456930beb7d92430,Catarata de Ahuashiyacu,A_representativo,4,"Really nice and close to the city. Easy to reach, nice to jump into the water on the hot day",atractivos,ausente
gm_b64d6c6a424db0e8,Catarata de Ahuashiyacu,A_representativo,5,"Toda la atención de primera, un lindo lugar y la comida muy buena 😀",atractivos,positivo
